module,function,co_emergence,co-presence_jaccard_index,co-presence_FET_p_value,co-presence_FET-odds_ratio
B127,RECQL4,False,0.1111111111111111,0.1315370128929451,15.571428571428571
B697,MFAP1,False,0.10606060606060606,0.01730906510777988,inf
B697,FBXW5,False,0.1111111111111111,0.16897076233721472,9.083333333333334
B697,MFAP3,False,0.10606060606060606,0.01730906510777988,inf
B697,TFAP2C,False,0.10606060606060606,0.01730906510777988,inf
B697,COL8A1,False,0.1111111111111111,0.16897076233721472,9.083333333333334
B697,VTN,False,0.10606060606060606,0.01730906510777988,inf
B697,HOXA1,False,0.10606060606060606,0.01730906510777988,inf
B697,NID1,False,0.30434782608695654,4.649966440670009e-06,inf
B697,ATN1,False,0.10606060606060606,0.01730906510777988,inf
B697,EMILIN1,False,0.10606060606060606,0.01730906510777988,inf
B697,HSD3B7,False,0.21739130434782608,0.0018990977564488165,14.84375
B697,OTX1,True,0.13953488372093023,0.00807358432678066,12.5
B697,FN1,False,0.30434782608695654,4.649966440670009e-06,inf
B697,FBN2,False,0.10606060606060606,0.01730906510777988,inf
B697,HSPG2,False,0.30434782608695654,4.649966440670009e-06,inf
B697,NUFIP2,False,0.10606060606060606,0.01730906510777988,inf
B697,LAMA5,False,0.375,0.0005108267248383631,82.5
B697,VCAN,False,0.30434782608695654,4.649966440670009e-06,inf
B697,ZNF408,False,0.1,0.21955515071668855,6.0
B697,MFAP5,False,0.10606060606060606,0.01730906510777988,inf
B697,MFAP4,False,0.10606060606060606,0.01730906510777988,inf
B697,ELN,False,0.10606060606060606,0.01730906510777988,inf
B697,MFAP2,False,0.10606060606060606,0.01730906510777988,inf
B697,ACAN,False,0.30434782608695654,4.649966440670009e-06,inf
B697,FBN1,False,0.10606060606060606,0.01730906510777988,inf
B697,LCE3D,False,0.21739130434782608,0.0018990977564488165,14.84375
B769,TGFB1,False,0.07462686567164178,0.009585141429186353,0.265625
B769,MFAP1,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,MFAP3,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,TFAP2C,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,VTN,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,HOXA1,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,DYRK1A,False,0.07462686567164178,0.009585141429186353,0.265625
B769,NID1,False,0.13725490196078433,1.0,1.046875
B769,ATN1,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,LTBP1,False,0.07462686567164178,0.009585141429186353,0.265625
B769,EMILIN1,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,HSD3B7,False,0.037037037037037035,0.03346755891578476,0.20414673046251994
B769,OTX1,False,0.11594202898550725,0.09129573929692426,0.42701525054466233
B769,GFI1B,False,0.06666666666666667,0.00043311629185030184,0.17916666666666667
B769,FN1,False,0.13725490196078433,1.0,1.046875
B769,FBN2,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,MEOX2,False,0.06666666666666667,0.00043311629185030184,0.17916666666666667
B769,HSPG2,False,0.13725490196078433,1.0,1.046875
B769,NUFIP2,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,LAMA5,False,0.02631578947368421,1.0,0.7843137254901961
B769,VCAN,False,0.13725490196078433,1.0,1.046875
B769,MFAP5,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,MFAP4,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,ASPH,False,0.07692307692307693,0.42176068651362303,1.8515625
B769,ELN,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,MFAP2,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,ACAN,False,0.13725490196078433,1.0,1.046875
B769,FBN1,True,0.20238095238095238,0.3167415259917385,0.655328798185941
B769,LCE3D,False,0.037037037037037035,0.03346755891578476,0.20414673046251994
B221,RECQL4,False,0.16666666666666666,0.0832971171954223,28.0
B225,RECQL4,False,0.16666666666666666,0.0832971171954223,28.0
B758,ASPH,False,0.13043478260869565,0.08183955639030409,4.453125
B68,RECQL4,False,0.014084507042253521,1.0,0.6811594202898551
B68,PLSCR1,False,0.04285714285714286,0.26988265971316816,inf
B68,TGFB1,True,0.44594594594594594,5.378808474054327e-06,9.81081081081081
B68,MFAP1,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,OCLN,False,0.014084507042253521,1.0,0.6811594202898551
B68,MAGEA3,False,0.014084507042253521,1.0,0.6811594202898551
B68,ATXN7,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,PROP1,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,ZBTB9,False,0.014084507042253521,1.0,0.6811594202898551
B68,FBXW5,False,0.028169014084507043,1.0,1.3823529411764706
B68,MFAP3,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,KRTAP192,False,0.014084507042253521,1.0,0.6811594202898551
B68,EFEMP2,False,0.04285714285714286,0.26988265971316816,inf
B68,TFAP2C,False,0.6585365853658537,2.218770004305761e-08,10.125
B68,COL8A1,False,0.028169014084507043,1.0,1.3823529411764706
B68,CYSRT1,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
B68,DDIAS,False,0.014084507042253521,1.0,0.6811594202898551
B68,RERE,False,0.2465753424657534,0.00688133338303192,5.1923076923076925
