id,NID1,CLPP,EMILIN1,ST14,ATN1,EGFL7,OCLN,LTBP1,FBXW5,GFI1B,HSD3B7,LAMA5,MFAP5,FN1,IGFBP6,LTBP4,ZNF768,MEOX2,DDIAS,ELN,ZFP41,ASPH,ADAMTSL4,KRTAP11-1,LCE1A,FXR1,HTRA1,ZNF408,BAG6,ANAPC11,COL8A1,IGFL3,TFAP2C,LCE2C,ZNF460,EFEMP2,ZNF627,ZNF747,LOX,CXCL5,MAGEA3,FBLN5,TIMP3,TGFB1,LOXL1,FBLN1,MFAP4,LCE3D,LTBP3,MFAP2,SHANK3,FAM110A,ZNF764,ZNF324,CREB5,RERE,ZNF136,RECQL4,DYRK1A,ECM1,KRTAP19-2,ACAN,ZNF444,VCAN,MFAP3,CACNA1A,SGTA,PLSCR4,ZBTB9,LCE3A,FBN1,FBN2,MFAP1,CYSRT1,ZNF696,MRPL12,NUFIP2,LCE1C,FBLN7,HOXA1,ITM2B,PLSCR1,TRIM42,DNAJC10,HSPA5,NLGN3,ARMS2,VTN,ATXN7,LINGO1,PRNP,NOS3,OTX1,PROP1,CAVIN1,HSPG2
XP017209808.2_7955_58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP001918972.3_7955_61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001313425.1_9031_62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002940445.2_8364_63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002691171.2_9913_64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP011508887.1_9606_65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NP077199.2_10090_66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP002128973.1_7719_74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001005979.1_7955_75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001025619.1_8364_76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001264403.1_9031_77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XP005222280.1_9913_78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP001371087.1_9606_79,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
